id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_pencari_kerja;satuan;tahun
79;32;JAWA BARAT;3277;KOTA CIMAHI;1972;ORANG;2020
80;32;JAWA BARAT;3278;KOTA TASIKMALAYA;5140;ORANG;2020
81;32;JAWA BARAT;3279;KOTA BANJAR;2274;ORANG;2020
82;32;JAWA BARAT;3201;KABUPATEN BOGOR;9933;ORANG;2021
83;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;27163;ORANG;2021
84;32;JAWA BARAT;3203;KABUPATEN CIANJUR;30683;ORANG;2021
85;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3113;ORANG;2021
86;32;JAWA BARAT;3205;KABUPATEN GARUT;22072;ORANG;2021
87;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;11396;ORANG;2021
88;32;JAWA BARAT;3207;KABUPATEN CIAMIS;8573;ORANG;2021
89;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;9115;ORANG;2021
90;32;JAWA BARAT;3209;KABUPATEN CIREBON;38213;ORANG;2021
91;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;19613;ORANG;2021
92;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;9082;ORANG;2021
93;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;19913;ORANG;2021
94;32;JAWA BARAT;3213;KABUPATEN SUBANG;29006;ORANG;2021
95;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;22153;ORANG;2021
96;32;JAWA BARAT;3215;KABUPATEN KARAWANG;36934;ORANG;2021
97;32;JAWA BARAT;3216;KABUPATEN BEKASI;18128;ORANG;2021
98;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;6862;ORANG;2021
99;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2378;ORANG;2021
100;32;JAWA BARAT;3271;KOTA BOGOR;3632;ORANG;2021
101;32;JAWA BARAT;3272;KOTA SUKABUMI;4175;ORANG;2021
102;32;JAWA BARAT;3273;KOTA BANDUNG;9201;ORANG;2021
103;32;JAWA BARAT;3274;KOTA CIREBON;2341;ORANG;2021
104;32;JAWA BARAT;3275;KOTA BEKASI;13116;ORANG;2021
105;32;JAWA BARAT;3276;KOTA DEPOK;4169;ORANG;2021
106;32;JAWA BARAT;3277;KOTA CIMAHI;1335;ORANG;2021
107;32;JAWA BARAT;3278;KOTA TASIKMALAYA;4796;ORANG;2021
108;32;JAWA BARAT;3279;KOTA BANJAR;1908;ORANG;2021
109;32;JAWA BARAT;3201;KABUPATEN BOGOR;21248;ORANG;2022
110;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;20383;ORANG;2022
111;32;JAWA BARAT;3203;KABUPATEN CIANJUR;30070;ORANG;2022
112;32;JAWA BARAT;3204;KABUPATEN BANDUNG;11317;ORANG;2022
113;32;JAWA BARAT;3205;KABUPATEN GARUT;22682;ORANG;2022
114;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;14337;ORANG;2022
115;32;JAWA BARAT;3207;KABUPATEN CIAMIS;9902;ORANG;2022
116;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;13824;ORANG;2022
117;32;JAWA BARAT;3209;KABUPATEN CIREBON;43428;ORANG;2022
118;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;18996;ORANG;2022
119;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;10450;ORANG;2022
120;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;16189;ORANG;2022
121;32;JAWA BARAT;3213;KABUPATEN SUBANG;27167;ORANG;2022
122;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;20008;ORANG;2022
123;32;JAWA BARAT;3215;KABUPATEN KARAWANG;27400;ORANG;2022
124;32;JAWA BARAT;3216;KABUPATEN BEKASI;30163;ORANG;2022
125;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;3355;ORANG;2022
126;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2762;ORANG;2022
127;32;JAWA BARAT;3271;KOTA BOGOR;3220;ORANG;2022
128;32;JAWA BARAT;3272;KOTA SUKABUMI;3930;ORANG;2022
129;32;JAWA BARAT;3273;KOTA BANDUNG;9855;ORANG;2022
130;32;JAWA BARAT;3274;KOTA CIREBON;2475;ORANG;2022
131;32;JAWA BARAT;3275;KOTA BEKASI;12318;ORANG;2022
132;32;JAWA BARAT;3276;KOTA DEPOK;5263;ORANG;2022
133;32;JAWA BARAT;3277;KOTA CIMAHI;2175;ORANG;2022
134;32;JAWA BARAT;3278;KOTA TASIKMALAYA;4652;ORANG;2022
135;32;JAWA BARAT;3279;KOTA BANJAR;1812;ORANG;2022
136;32;JAWA BARAT;3201;KABUPATEN BOGOR;23081;ORANG;2023
137;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;15062;ORANG;2023
138;32;JAWA BARAT;3203;KABUPATEN CIANJUR;25523;ORANG;2023
139;32;JAWA BARAT;3204;KABUPATEN BANDUNG;5044;ORANG;2023
140;32;JAWA BARAT;3205;KABUPATEN GARUT;20195;ORANG;2023
141;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;8805;ORANG;2023
142;32;JAWA BARAT;3207;KABUPATEN CIAMIS;9766;ORANG;2023
143;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;11161;ORANG;2023
144;32;JAWA BARAT;3209;KABUPATEN CIREBON;31078;ORANG;2023
145;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;14218;ORANG;2023
146;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;7958;ORANG;2023
147;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;15700;ORANG;2023
148;32;JAWA BARAT;3213;KABUPATEN SUBANG;23815;ORANG;2023
149;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;16467;ORANG;2023
150;32;JAWA BARAT;3215;KABUPATEN KARAWANG;30883;ORANG;2023
151;32;JAWA BARAT;3216;KABUPATEN BEKASI;31396;ORANG;2023
