id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_lowongan_kerja;satuan;tahun
68;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;0;LOWONGAN KERJA;2020
69;32;JAWA BARAT;3215;KABUPATEN KARAWANG;0;LOWONGAN KERJA;2020
70;32;JAWA BARAT;3216;KABUPATEN BEKASI;0;LOWONGAN KERJA;2020
71;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;0;LOWONGAN KERJA;2020
72;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;0;LOWONGAN KERJA;2020
73;32;JAWA BARAT;3271;KOTA BOGOR;0;LOWONGAN KERJA;2020
74;32;JAWA BARAT;3272;KOTA SUKABUMI;0;LOWONGAN KERJA;2020
75;32;JAWA BARAT;3273;KOTA BANDUNG;0;LOWONGAN KERJA;2020
76;32;JAWA BARAT;3274;KOTA CIREBON;0;LOWONGAN KERJA;2020
77;32;JAWA BARAT;3275;KOTA BEKASI;0;LOWONGAN KERJA;2020
78;32;JAWA BARAT;3276;KOTA DEPOK;0;LOWONGAN KERJA;2020
79;32;JAWA BARAT;3277;KOTA CIMAHI;137;LOWONGAN KERJA;2020
80;32;JAWA BARAT;3278;KOTA TASIKMALAYA;0;LOWONGAN KERJA;2020
81;32;JAWA BARAT;3279;KOTA BANJAR;1134;LOWONGAN KERJA;2020
82;32;JAWA BARAT;3201;KABUPATEN BOGOR;5045;LOWONGAN KERJA;2021
83;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;7431;LOWONGAN KERJA;2021
84;32;JAWA BARAT;3203;KABUPATEN CIANJUR;7172;LOWONGAN KERJA;2021
85;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1340;LOWONGAN KERJA;2021
86;32;JAWA BARAT;3205;KABUPATEN GARUT;8424;LOWONGAN KERJA;2021
87;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;3870;LOWONGAN KERJA;2021
88;32;JAWA BARAT;3207;KABUPATEN CIAMIS;7937;LOWONGAN KERJA;2021
89;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;5397;LOWONGAN KERJA;2021
90;32;JAWA BARAT;3209;KABUPATEN CIREBON;18407;LOWONGAN KERJA;2021
