id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;besaran_upah_minimum;satuan;tahun
70;32;JAWA BARAT;3216;KABUPATEN BEKASI;4146126,18;RUPIAH;2019
71;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;2898744,63;RUPIAH;2019
72;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1714673,33;RUPIAH;2019
73;32;JAWA BARAT;3271;KOTA BOGOR;3842785,54;RUPIAH;2019
74;32;JAWA BARAT;3272;KOTA SUKABUMI;2331752,5;RUPIAH;2019
75;32;JAWA BARAT;3273;KOTA BANDUNG;3339580,61;RUPIAH;2019
76;32;JAWA BARAT;3274;KOTA CIREBON;2045422,24;RUPIAH;2019
77;32;JAWA BARAT;3275;KOTA BEKASI;4229756,61;RUPIAH;2019
78;32;JAWA BARAT;3276;KOTA DEPOK;3872551,72;RUPIAH;2019
79;32;JAWA BARAT;3277;KOTA CIMAHI;2893074,13;RUPIAH;2019
80;32;JAWA BARAT;3278;KOTA TASIKMALAYA;2086529,61;RUPIAH;2019
81;32;JAWA BARAT;3279;KOTA BANJAR;1688217,52;RUPIAH;2019
82;32;JAWA BARAT;3201;KABUPATEN BOGOR;4083670;RUPIAH;2020
83;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;3028531,71;RUPIAH;2020
84;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2534798,99;RUPIAH;2020
85;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3139275,37;RUPIAH;2020
86;32;JAWA BARAT;3205;KABUPATEN GARUT;1961085,7;RUPIAH;2020
87;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;2251787,92;RUPIAH;2020
88;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1880654,54;RUPIAH;2020
89;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1882642,36;RUPIAH;2020
90;32;JAWA BARAT;3209;KABUPATEN CIREBON;2196416,09;RUPIAH;2020
91;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1944166,36;RUPIAH;2020
92;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;3139275,37;RUPIAH;2020
93;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;2297931,11;RUPIAH;2020
94;32;JAWA BARAT;3213;KABUPATEN SUBANG;2965468;RUPIAH;2020
95;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;4039067,66;RUPIAH;2020
96;32;JAWA BARAT;3215;KABUPATEN KARAWANG;4594324,54;RUPIAH;2020
97;32;JAWA BARAT;3216;KABUPATEN BEKASI;4498961,51;RUPIAH;2020
98;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;3145427,79;RUPIAH;2020
99;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1860591,33;RUPIAH;2020
100;32;JAWA BARAT;3271;KOTA BOGOR;4169806,58;RUPIAH;2020
101;32;JAWA BARAT;3272;KOTA SUKABUMI;2530182,63;RUPIAH;2020
102;32;JAWA BARAT;3273;KOTA BANDUNG;3623778,91;RUPIAH;2020
103;32;JAWA BARAT;3274;KOTA CIREBON;2219487,67;RUPIAH;2020
104;32;JAWA BARAT;3275;KOTA BEKASI;4589708,9;RUPIAH;2020
105;32;JAWA BARAT;3276;KOTA DEPOK;4202105,87;RUPIAH;2020
106;32;JAWA BARAT;3277;KOTA CIMAHI;3139274,74;RUPIAH;2020
107;32;JAWA BARAT;3278;KOTA TASIKMALAYA;2264093,28;RUPIAH;2020
108;32;JAWA BARAT;3279;KOTA BANJAR;1831884,83;RUPIAH;2020
109;32;JAWA BARAT;3201;KABUPATEN BOGOR;4217206;RUPIAH;2021
110;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;3125444,72;RUPIAH;2021
111;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2534798,99;RUPIAH;2021
112;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3241929,67;RUPIAH;2021
113;32;JAWA BARAT;3205;KABUPATEN GARUT;1961085,7;RUPIAH;2021
114;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;2251787,92;RUPIAH;2021
115;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1880654,54;RUPIAH;2021
116;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1882642,36;RUPIAH;2021
117;32;JAWA BARAT;3209;KABUPATEN CIREBON;2269556,75;RUPIAH;2021
