id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;pendidikan;jumlah_pengangguran;satuan;tahun
950;32;JAWA BARAT;3215;KABUPATEN KARAWANG;SMA;77839;ORANG;2019
951;32;JAWA BARAT;3215;KABUPATEN KARAWANG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;6779;ORANG;2019
952;32;JAWA BARAT;3216;KABUPATEN BEKASI;SD KE BAWAH;20572;ORANG;2019
953;32;JAWA BARAT;3216;KABUPATEN BEKASI;SMP;21342;ORANG;2019
954;32;JAWA BARAT;3216;KABUPATEN BEKASI;SMA;92748;ORANG;2019
955;32;JAWA BARAT;3216;KABUPATEN BEKASI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;24296;ORANG;2019
956;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SD KE BAWAH;20009;ORANG;2019
957;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SMP;15186;ORANG;2019
958;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SMA;25057;ORANG;2019
959;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;2443;ORANG;2019
960;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SD KE BAWAH;2325;ORANG;2019
961;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SMP;2300;ORANG;2019
962;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SMA;5317;ORANG;2019
963;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;544;ORANG;2019
964;32;JAWA BARAT;3271;KOTA BOGOR;SD KE BAWAH;10602;ORANG;2019
965;32;JAWA BARAT;3271;KOTA BOGOR;SMP;10496;ORANG;2019
966;32;JAWA BARAT;3271;KOTA BOGOR;SMA;21680;ORANG;2019
967;32;JAWA BARAT;3271;KOTA BOGOR;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;5953;ORANG;2019
968;32;JAWA BARAT;3272;KOTA SUKABUMI;SD KE BAWAH;2273;ORANG;2019
969;32;JAWA BARAT;3272;KOTA SUKABUMI;SMP;2570;ORANG;2019
970;32;JAWA BARAT;3272;KOTA SUKABUMI;SMA;7538;ORANG;2019
971;32;JAWA BARAT;3272;KOTA SUKABUMI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;597;ORANG;2019
972;32;JAWA BARAT;3273;KOTA BANDUNG;SD KE BAWAH;14066;ORANG;2019
973;32;JAWA BARAT;3273;KOTA BANDUNG;SMP;16147;ORANG;2019
974;32;JAWA BARAT;3273;KOTA BANDUNG;SMA;51743;ORANG;2019
975;32;JAWA BARAT;3273;KOTA BANDUNG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;23111;ORANG;2019
976;32;JAWA BARAT;3274;KOTA CIREBON;SD KE BAWAH;2619;ORANG;2019
977;32;JAWA BARAT;3274;KOTA CIREBON;SMP;2551;ORANG;2019
