id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kepadatan_penduduk;satuan;tahun
233;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1364;JIWA/KM2;2021
234;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;428;JIWA/KM2;2021
235;32;JAWA BARAT;3271;KOTA BOGOR;9210;JIWA/KM2;2021
236;32;JAWA BARAT;3272;KOTA SUKABUMI;7329;JIWA/KM2;2021
237;32;JAWA BARAT;3273;KOTA BANDUNG;15076;JIWA/KM2;2021
238;32;JAWA BARAT;3274;KOTA CIREBON;9199;JIWA/KM2;2021
239;32;JAWA BARAT;3275;KOTA BEKASI;11947;JIWA/KM2;2021
240;32;JAWA BARAT;3276;KOTA DEPOK;9453;JIWA/KM2;2021
241;32;JAWA BARAT;3277;KOTA CIMAHI;14279;JIWA/KM2;2021
242;32;JAWA BARAT;3278;KOTA TASIKMALAYA;4263;JIWA/KM2;2021
243;32;JAWA BARAT;3279;KOTA BANJAR;1570;JIWA/KM2;2021
244;32;JAWA BARAT;3201;KABUPATEN BOGOR;1830;JIWA/KM2;2022
245;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;663;JIWA/KM2;2022
246;32;JAWA BARAT;3203;KABUPATEN CIANJUR;690;JIWA/KM2;2022
247;32;JAWA BARAT;3204;KABUPATEN BANDUNG;2130;JIWA/KM2;2022
248;32;JAWA BARAT;3205;KABUPATEN GARUT;890;JIWA/KM2;2022
249;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;717;JIWA/KM2;2022
250;32;JAWA BARAT;3207;KABUPATEN CIAMIS;794;JIWA/KM2;2022
251;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1021;JIWA/KM2;2022
252;32;JAWA BARAT;3209;KABUPATEN CIREBON;2239;JIWA/KM2;2022
253;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1007;JIWA/KM2;2022
254;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;758;JIWA/KM2;2022
255;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;921;JIWA/KM2;2022
256;32;JAWA BARAT;3213;KABUPATEN SUBANG;747;JIWA/KM2;2022
257;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1028;JIWA/KM2;2022
258;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1312;JIWA/KM2;2022
259;32;JAWA BARAT;3216;KABUPATEN BEKASI;2516;JIWA/KM2;2022
260;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1423;JIWA/KM2;2022
261;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;387;JIWA/KM2;2022
262;32;JAWA BARAT;3271;KOTA BOGOR;10003;JIWA/KM2;2022
263;32;JAWA BARAT;3272;KOTA SUKABUMI;7428;JIWA/KM2;2022
264;32;JAWA BARAT;3273;KOTA BANDUNG;15277;JIWA/KM2;2022
265;32;JAWA BARAT;3274;KOTA CIREBON;8778;JIWA/KM2;2022
266;32;JAWA BARAT;3275;KOTA BEKASI;11671;JIWA/KM2;2022
267;32;JAWA BARAT;3276;KOTA DEPOK;9605;JIWA/KM2;2022
268;32;JAWA BARAT;3277;KOTA CIMAHI;13352;JIWA/KM2;2022
269;32;JAWA BARAT;3278;KOTA TASIKMALAYA;4060;JIWA/KM2;2022
270;32;JAWA BARAT;3279;KOTA BANJAR;1585;JIWA/KM2;2022
271;32;JAWA BARAT;3201;KABUPATEN BOGOR;1858;JIWA/KM2;2023
272;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;670;JIWA/KM2;2023
273;32;JAWA BARAT;3203;KABUPATEN CIANJUR;698;JIWA/KM2;2023
274;32;JAWA BARAT;3204;KABUPATEN BANDUNG;2154;JIWA/KM2;2023
275;32;JAWA BARAT;3205;KABUPATEN GARUT;888;JIWA/KM2;2023
276;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;724;JIWA/KM2;2023
277;32;JAWA BARAT;3207;KABUPATEN CIAMIS;803;JIWA/KM2;2023
278;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1033;JIWA/KM2;2023
279;32;JAWA BARAT;3209;KABUPATEN CIREBON;2264;JIWA/KM2;2023
280;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1019;JIWA/KM2;2023
281;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;770;JIWA/KM2;2023
282;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;932;JIWA/KM2;2023
283;32;JAWA BARAT;3213;KABUPATEN SUBANG;756;JIWA/KM2;2023
284;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1044;JIWA/KM2;2023
285;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1327;JIWA/KM2;2023
286;32;JAWA BARAT;3216;KABUPATEN BEKASI;2555;JIWA/KM2;2023
287;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1439;JIWA/KM2;2023
288;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;392;JIWA/KM2;2023
289;32;JAWA BARAT;3271;KOTA BOGOR;10123;JIWA/KM2;2023
290;32;JAWA BARAT;3272;KOTA SUKABUMI;7553;JIWA/KM2;2023
291;32;JAWA BARAT;3273;KOTA BANDUNG;15421;JIWA/KM2;2023
292;32;JAWA BARAT;3274;KOTA CIREBON;8928;JIWA/KM2;2023
293;32;JAWA BARAT;3275;KOTA BEKASI;11799;JIWA/KM2;2023
294;32;JAWA BARAT;3276;KOTA DEPOK;9711;JIWA/KM2;2023
295;32;JAWA BARAT;3277;KOTA CIMAHI;13563;JIWA/KM2;2023
296;32;JAWA BARAT;3278;KOTA TASIKMALAYA;4120;JIWA/KM2;2023
297;32;JAWA BARAT;3279;KOTA BANJAR;1590;JIWA/KM2;2023
