id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;indeks_pendidikan;satuan;tahun
318;32;JAWA BARAT;3276;KOTA DEPOK;76,89;POIN;2021
319;32;JAWA BARAT;3277;KOTA CIMAHI;75,29;POIN;2021
320;32;JAWA BARAT;3278;KOTA TASIKMALAYA;69,12;POIN;2021
321;32;JAWA BARAT;3279;KOTA BANJAR;66,01;POIN;2021
322;32;JAWA BARAT;3201;KABUPATEN BOGOR;62,52;POIN;2022
323;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;57,73;POIN;2022
324;32;JAWA BARAT;3203;KABUPATEN CIANJUR;57,36;POIN;2022
325;32;JAWA BARAT;3204;KABUPATEN BANDUNG;65,57;POIN;2022
326;32;JAWA BARAT;3205;KABUPATEN GARUT;59,85;POIN;2022
327;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;60,74;POIN;2022
328;32;JAWA BARAT;3207;KABUPATEN CIAMIS;66,33;POIN;2022
329;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;60,27;POIN;2022
330;32;JAWA BARAT;3209;KABUPATEN CIREBON;58,78;POIN;2022
331;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;58,97;POIN;2022
332;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;65,15;POIN;2022
333;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;56,85;POIN;2022
334;32;JAWA BARAT;3213;KABUPATEN SUBANG;56,72;POIN;2022
335;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;60,73;POIN;2022
336;32;JAWA BARAT;3215;KABUPATEN KARAWANG;60,39;POIN;2022
337;32;JAWA BARAT;3216;KABUPATEN BEKASI;68,18;POIN;2022
338;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;60,43;POIN;2022
339;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;60,41;POIN;2022
340;32;JAWA BARAT;3271;KOTA BOGOR;72,74;POIN;2022
341;32;JAWA BARAT;3272;KOTA SUKABUMI;71,55;POIN;2022
342;32;JAWA BARAT;3273;KOTA BANDUNG;76,19;POIN;2022
343;32;JAWA BARAT;3274;KOTA CIREBON;70,93;POIN;2022
344;32;JAWA BARAT;3275;KOTA BEKASI;77,33;POIN;2022
345;32;JAWA BARAT;3276;KOTA DEPOK;76,96;POIN;2022
346;32;JAWA BARAT;3277;KOTA CIMAHI;75,76;POIN;2022
347;32;JAWA BARAT;3278;KOTA TASIKMALAYA;69,18;POIN;2022
348;32;JAWA BARAT;3279;KOTA BANJAR;66,07;POIN;2022
