id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;garis_kemiskinan;satuan;tahun
464;32;JAWA BARAT;3205;KABUPATEN GARUT;320050;RUPIAH/KAPITA/BULAN;2021
465;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;333909;RUPIAH/KAPITA/BULAN;2021
466;32;JAWA BARAT;3207;KABUPATEN CIAMIS;389676;RUPIAH/KAPITA/BULAN;2021
467;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;358069;RUPIAH/KAPITA/BULAN;2021
468;32;JAWA BARAT;3209;KABUPATEN CIREBON;404635;RUPIAH/KAPITA/BULAN;2021
469;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;466813;RUPIAH/KAPITA/BULAN;2021
470;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;360054;RUPIAH/KAPITA/BULAN;2021
471;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;481754;RUPIAH/KAPITA/BULAN;2021
472;32;JAWA BARAT;3213;KABUPATEN SUBANG;360691;RUPIAH/KAPITA/BULAN;2021
473;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;387754;RUPIAH/KAPITA/BULAN;2021
474;32;JAWA BARAT;3215;KABUPATEN KARAWANG;494201;RUPIAH/KAPITA/BULAN;2021
475;32;JAWA BARAT;3216;KABUPATEN BEKASI;549875;RUPIAH/KAPITA/BULAN;2021
476;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;374470;RUPIAH/KAPITA/BULAN;2021
477;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;394101;RUPIAH/KAPITA/BULAN;2021
478;32;JAWA BARAT;3271;KOTA BOGOR;571425;RUPIAH/KAPITA/BULAN;2021
479;32;JAWA BARAT;3272;KOTA SUKABUMI;567734;RUPIAH/KAPITA/BULAN;2021
480;32;JAWA BARAT;3273;KOTA BANDUNG;515396;RUPIAH/KAPITA/BULAN;2021
481;32;JAWA BARAT;3274;KOTA CIREBON;467248;RUPIAH/KAPITA/BULAN;2021
